"고유번호","언어","상호명","주소","신주소","전화번호","팩스번호","웹사이트","운영시간","운영요일","휴무일","교통정보","태그","장애인편의시설"
"252","ko","63스퀘어","150-763 서울 영등포구 여의도동 60 ","07345 서울 영등포구 63로 50 (여의도동 63한화생명빌딩) ","1833-7001","","www.63art.co.kr","매일 10:00 - 19:00 아쿠아리움 / 연중무휴 (운영시간 마감 30분 전 입장마감) 매일 10:00 - 20:00 63아트 / 연중무휴 (운영시간 마감 30분 전 입장마감)","월~일","연중무휴","1호선 대방역 6번 출구 셔틀버스 탑승    5호선 여의도역 5번 출구 셔틀버스 탑승    5호선 여의나루역 4번 출구 셔틀버스 탑승 ","63아쿠아플라넷여의도63빌딩레스토랑 63빌딩전망대 전망대아쿠아리움63스퀘어63빌딩 63아트 데이트코스","엘리베이터장애인 안내(휠체어 대여 및 기타)장애인 전용 주차장장애인화장실접근가능"
"432","en","Bongeunsa Temple","135-870 73 Samseong-dong Gangnam-gu Seoul Korea ","06087 531 Bongeunsa-ro Gangnam-gu Seoul Korea  ","+82-2-3218-4800","+82-2-544-2141","http://www.bongeunsa.org/","","","","* Subway Line 9 Bongeunsa Station Exit 1 * Subway Line 2 Samseong Station Exit 6     * Subway Line 7 Cheongdam Station Exit 2","LanternParadeGangnamTempleStayBuddhistTempleCoexHistoricSiteBongeunsaBuddhism","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible Restrooms"
"296","en","Changdeokgung Palace ","110-360 2-71 Waryong-dong Jongno-gu Seoul ","03072 2-71 Waryong-dong Jongno-gu Seoul ","+82-2-762-8261","+82-2-762-2070","http://www.cdg.go.kr/eng/","February - May 09:00 - 18:00 (Last entry at 17:00) June - August 09:00 - 18:30 (Last entry at 17:30) September - October 09:00 - 18:00 (Last entry at 17:00) November - January 09:00 - 17:30 (Last entry at 16:30)","","Closed Mondays","Subway Line 3 Anguk Station Exit 3 (5 minutes by foot) Subway Line 5 Jongno 3-ga Station Exit 6 (10 minutes by foot)","SeoulAttractionsSeoulAttractionsSeoulHanbokTourKoreaTravelCourseForbiddenCityTourSeoulEssentialTravelDestinationsSeoulDateCourseSeoulTravelCourseWorldHeritageSiteSeoulKoreanCultureKoreanTraditionChangdeokgungPalace","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible Restrooms"
"298","en","Changgyeonggung Palace","110-360 Waryong-dong Jongno-gu Seoul 2-1","03072 185 Changgyeonggung-ro Jongno-gu Seoul ","+82-2-762-4868","","http://english.cha.go.kr/html/HtmlPage.do?pg=/royal/RoyalPalaces_3.jsp&mn=EN_02_03_04","Daily 09:00 - 21:00 (Last entry at 20:00) *Closed Mondays*","","","Subway Line 4 Hyehwa Station Exit 4 (15 minutes by foot)","KoreanHistoricSitesSeoulNightViewSeoulNightWalkSeoulDateSpotPalaceNightTourSeoulPalaceTraditionalSeoulAttractionsKoreanPalaceSeoulTravelCourseSeoulAttractionsChanggyeonggungPalaceTraditionalKoreanCultureSeoulDateNight","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible Restrooms"
"461","en","Culture Station Seoul 284","100-162 122-28 Bongnae-dong 2(i)-ga Jung-gu Seoul ","04509 1 Tongil-ro Jung-gu Seoul ","+82-2-3407-3500","","https://www.seoul284.org/english/","Daily 11:00 - 19:00 (Last entry at 18:30) ","","Closed Mondays New Year Lunar New Year & Chuseok ","Subway Lines 1 & 4 Seoul Station Exit 2","HistoricSiteArtArtGalleryCultureStationSeoul284SeoulStationFormerSeoulStationTrainStationMuseumExhibition","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible RestroomsElevators"
"2047","en","Deoksugung Palace","100-120 Jeong-dong Jung-gu Seoul 5-1","100-120 99 Sejong-daero Jung-gu Seoul ","+82-2-771-9951","+82-2-771-9953","http://www.deoksugung.go.kr:8081/","Daily 9:00 - 21:00 (Last entry 20:00) *Closed Mondays*","","","Subway Line 1 City Hall Station Exit 2 (5 minutes by foot) Subway Line 2 City Hall Station Exit 12 (5 minutes by foot)  ","SeoulOutingKoreanHistorySeoulNightViewSeoulTopTravelDestinationsJeongdonggilKoreanTraditionJeongdongStonewallRoadDeoksugungAtNightPalaceSeoulTravelDeoksugungTourPalaceTourKoreaTravelSeoulWalkingStreetKoreanPalaceDeoksugungPalace","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible Restrooms"
"1792","en","Dosan Park","135-120 649-9 Sinsa-dong Gangnam-gu Seoul ","135-120 20 Dosan-daero 45-gil Gangnam-gu Seoul ","+82-2-3423-6245","","","Dosan Memorial Hall: Open daily 10:00 - 17:00","","","Subway Line 3 Apgujeong Station Exits 2 & 3  ","MuseumApgujeongStationDosanParkExhibitionMemorialPatriotHistoryParkGangnamAhnChangHo","Accessible PathwaysAccessible Restrooms"
"1901","en","Gwanghwamun Square"," 1-68 Sejong-ro Jongno-gu Seoul ","  ","+82-2-120","","http://plaza.seoul.go.kr/gwanghwamun","Open 24 hours a day throughout the year as a city square","Monday ~ Sunday","Open year-around","Subway Line 3 Gyeongbokgung Station Exit 6 7. Go straight in the direction of the Korea Exchange Bank  Subway Line 5 Gwanghwamun Station Exit 1 2 or 8  Subway Line 1 City Hall Station Exit 3. Pass Deoksugung Palace and go straight toward the Koreana Hotel "," Urban Culture Square Gwanghwamun Square Yi Sun-sinCheonggyecheon Stream Gyeongbokgung Palace Gwanghwamun Sejong Center for the Performing Arts King Sejong the Great","Accessible PathwaysAccessible Restrooms"
"73","en","Gyeongbokgung Palace","110-820 1-1 Sejongno Jongno-gu Seoul ","03045 161 Sajik-ro Jongno-gu Seoul ","+82-2-3700-3900","+82-2-3700-3909","http://www.royalpalace.go.kr:8080/html/eng_gbg/main/main.jsp","January & February: 09:00 - 17:00 March - May: 09:00 - 18:00 June - August: 09:00 - 18:30  September & October: 09:00 - 18:00 November & December: 09:00 - 17:00 *Last entry one hour before closing*","Daily *Closed Tuesdays*","","Subway Line 3 Gyeongbokgung Station Exit 5 (5 mins on foot) Subway Line 5 Gwanghwamun Station Exit 2 (10 mins on foot)","KoreanHistoricSitesKoreanCultureGyeongbokgungPalaceSeoulPalaceGyeongbokgungPalaceAdmissionFeeSeoulTouristAttractionsKoreanTraditionSeoulAttractionsSeoulTravelSeoulAttractionsSeoulOutingSeoulDate","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible Restrooms"
"100","en","Hanyangdoseong (Seoul City Wall)","110-041 70-6 Jongno 6-ga Jongno-gu Seoul ","03038 283 Yulgok-ro Jongno-gu Seoul (Jongno 6-ga Seoul Design Support Center) ","+82-2-120","","http://seoulcitywall.seoul.go.kr/front/eng/index.do","","","","* Subway Line 3 Anguk Station Exit 2 * Subway Lines 1 & 4 Dongdaemun Station Exits 1 & 10","HistoricSiteSeoulCityWallNamsanDongdaemunNaksanFourMajorGatesHikingWalkBugaksanInwangsanHansungUnivStation","Accessible ParkingAccessible Restrooms"
